"wavfile","trialnr","itemID","word","ppnr","gesturecondition","excelsheet","cross","opmerking"
"18_C1.I.15_dem¢crata_ppn_007_gesture.wav","18","C1.I.15","dem¢crata","007","gesture.wav","007.xlsx",NA,"gaat dit goed?"
"53_C4.I.8_proceso_ppn_007_nogesture.wav","53","C4.I.8","proceso","007","nogesture.wav","007.xlsx",NA,"verlenging door aarzeling"
"59_C2.I.20_aristocracia_ppn_007_nogesture.wav","59","C2.I.20","aristocracia","007","nogesture.wav","007.xlsx",NA,"1e keer met aarzeling dus nog een keer uitgesproken zonder aarzeling maar die wordt afgekapt."
"60_C3.I.20_helic¢ptero_ppn_007_nogesture.wav","60","C3.I.20","helic¢ptero","007","nogesture.wav","007.xlsx",NA,"gaat de annotatie hier dan wel goed?"
"64_C2.I.7_horizonte_ppn_007_gesture.wav","64","C2.I.7","horizonte","007","gesture.wav","007.xlsx",NA,"lichte aarzeling"
"123_C2.I.10_ilustrador_ppn_007_nogesture.wav","123","C2.I.10","ilustrador","007","nogesture.wav","007.xlsx",NA,"hapering, niet gebruiken?"
"146_P.C2.2_democracia_ppn_007_gesture.wav","146","P.C2.2","democracia","007","gesture.wav","007.xlsx",NA,"hapering"
"150_C4.I.10_programa_ppn_007_gesture.wav","150","C4.I.10","programa","007","gesture.wav","007.xlsx",NA,"hapering"
"75_C4.I.8_proceso_ppn_008_nogesture.wav","75","C4.I.8","proceso","008","nogesture.wav","008.xlsx",NA,"zegt eerst prosecco en dan proceso, welk woord wordt geannoteerd?"
"133_C1.I.16_gram¢fono_ppn_008_nogesture.wav","133","C1.I.16","gram¢fono","008","nogesture.wav","008.xlsx",NA,"aarzeling bij eerste keer uitspreken, tweede keer wel correct. Welke is geannoteerd?"
"6_C1.I.19_cat†strofe_ppn_009_nogesture.wav","6","C1.I.19","cat†strofe","009","nogesture.wav","009.xlsx",NA,"lacherig aan het eind van het woord - check textgrid"
"18_C1.I.16_gram¢fono_ppn_009_gesture.wav","18","C1.I.16","gram¢fono","009","gesture.wav","009.xlsx",NA,"korte aarzeling en mompel aan het eind - check textgrid"
"47_C3.I.16_geogr†fico_ppn_009_gesture.wav","47","C3.I.16","geogr†fico","009","gesture.wav","009.xlsx",NA,"aarzeling aan het begin - check textrgrid"
"85_C1.I.14_cat¢lico_ppn_009_nogesture.wav","85","C1.I.14","cat¢lico","009","nogesture.wav","009.xlsx",NA,"gelach aan eind - check textgrid"
"92_C1.I.9_acr¢bata_ppn_009_gesture.wav","92","C1.I.9","acr¢bata","009","gesture.wav","009.xlsx",NA,"zegt acrobatica ipv acrobata, extra lettergreep"
"150_C3.I.20_helic¢ptero_ppn_009_gesture.wav","150","C3.I.20","helic¢ptero","009","gesture.wav","009.xlsx",NA,"begint met wat gelach - check textgrid"
"153_C1.I.3_pir†mide_ppn_009_nogesture.wav","153","C1.I.3","pir†mide","009","nogesture.wav","009.xlsx",NA,"eindigt met gelach - check textgrid"
"182_C1.I.15_dem¢crata_ppn_009_gesture.wav","182","C1.I.15","dem¢crata","009","gesture.wav","009.xlsx",NA,"zegt democracia ipv democrata; is dit een extra lettergreep?"
"183_C2.I.20_aristocracia_ppn_009_gesture.wav","183","C2.I.20","aristocracia","009","gesture.wav","009.xlsx","x","verpsreking en woord zelf zit niet in het file"
"184_P.C2.1_carnaval_ppn_009_gesture.wav","184","P.C2.1","carnaval","009","gesture.wav","009.xlsx",NA,"deel vorige woord en carnaval zitten in 1 file; check of file/textrgrid gesplit moet worden"
"189_C4.I.1_parasol_ppn_009_nogesture.wav","189","C4.I.1","parasol","009","nogesture.wav","009.xlsx",NA,"verspreking; check textgrid"
